HGNC_symbol	uniprotswissprot
AASS	Q9UDR5
ABCA8	O94911
ABI1	Q8IZP0
ABL1	P00519
ADAM17	P78536
ADAMTS1	Q9UHI8
ADNP	Q9H2P0
AGO3	Q9H9G7
AHR	P35869
AKR1B1	P15121
AKR1C1	Q04828
ALDOA	P04075
ALMS1	Q8TCU4
AMD1	P17707
ANKRD10	Q9NXR5
ANKRD27	Q96NW4
ANKRD28	O15084
ANXA1	P04083
ARMC1	Q9NVT9
ASXL2	Q76L83
ATF7IP	Q6VMQ6
ATM	Q13315
ATP8B1	O43520
AUH	Q13825
AUTS2	Q8WXX7
BCLAF1	Q9NYF8
BNIP3	Q12983
BTG1	P62324
C6orf120	Q7Z4R8
CALD1	Q05682
CARD8	Q9Y2G2
CBLB	Q13191
CCDC90B	Q9GZT6
CCNL1	Q9UK58
CDH11	P55287
CDH22	Q9UJ99
CDIPT	O14735
CDK12	Q9NYV4
CEBPZ	Q03701
CENPU	Q71F23
CEP170B	Q9Y4F5
CEP57	Q86XR8
CHD1	O14646
CLCN6	P51797
CLIC4	Q9Y696
CLK4	Q9HAZ1
CMTM6	Q9NX76
CNOT1	A5YKK6
COX5A	P20674
CPOX	P36551
CPSF6	Q16630
CPSF7	Q8N684
CREG1	O75629
CRISPLD2	Q9H0B8
CRLF3	Q8IUI8
CRY1	Q16526
CTBP2	P56545
CTSH	P09668
CXorf56	Q9H5V9
CYP2E1	P05181
DDX21	Q9NR30
DEDD	O75618
DENND4A	Q7Z401
DERL1	Q9BUN8
DHX29	Q7Z478
DIDO1	Q9BTC0
DOLPP1	Q86YN1
DRG1	Q9Y295
EEF1A1	P68104
EFEMP1	Q12805
EIF1B	O60739
EIF3E	P60228
ENPP2	Q13822
EPS8	Q12929
ERBB4	Q15303
ESRRG	P62508
FAM129A	Q9BZQ8
FAM65B	Q9Y4F9
FHL1	Q13642
FLNC	Q14315
FOXN3	O00409
GDI1	P31150
GIN1	Q9NXP7
GIPC1	O14908
GNA13	Q14344
GNB5	O14775
GOLGA7	Q7Z5G4
GPNMB	Q14956
GSAP	A4D1B5
HABP4	Q5JVS0
HCFC2	Q9Y5Z7
HCLS1	P14317
HEATR3	Q7Z4Q2
HEXB	P07686
HIPK1	Q86Z02
HLA-B	P30460
HLA-B	P30462
HLA-B	Q95365
HLA-B	P30475
HLA-B	P30479
HLA-B	P30464
HLA-B	P30483
HLA-B	P30484
HLA-B	P30488
HLA-B	P30490
HLA-B	P30461
HLA-B	P03989
HLA-B	P30485
HLA-B	P30487
HLA-B	P18465
HLA-B	P10319
HLA-B	P01889
HLA-B	P30480
HLA-B	P30486
HLA-B	Q29836
HLA-B	Q31612
HLA-B	Q31610
HLA-B	P30466
HLA-B	P30685
HLA-B	P18463
HLA-B	Q04826
HLA-B	P18464
HLA-B	P30491
HLA-B	P30492
HLA-B	P30493
HLA-B	P30495
HLA-B	Q29940
HLA-B	P30498
HLA-B	Q29718
HLA-B	P30481
HMGN4	O00479
HNMT	P50135
HNRNPA2B1	P22626
ICE1	Q9Y2F5
IFITM2	Q01629
IFRD1	O00458
IMPDH1	P20839
ITGA6	P23229
ITPR2	Q14571
JMJD1C	Q15652
KAT6A	Q92794
KATNBL1	Q9H079
KCNAB1	Q14722
KCNE4	Q8WWG9
KCTD12	Q96CX2
KIAA0141	Q14154
KLF6	Q99612
KRIT1	O00522
LAPTM5	Q13571
LIMA1	Q9UHB6
LPCAT4	Q643R3
LPL	P06858
LPP	Q93052
LRBA	P50851
LRCH3	Q96II8
LRRC14	Q15048
LYN	P07948
MAN2A1	Q16706
MAP3K7	O43318
MAP4K3	Q8IVH8
MAP4K5	Q9Y4K4
MARK3	P27448
MARK4	Q96L34
MCMBP	Q9BTE3
MED14	O60244
MED8	Q96G25
METTL9	Q9H1A3
MFN1	Q8IWA4
MGST3	O14880
MLH3	Q9UHC1
MON2	Q7Z3U7
MUS81	Q96NY9
MYOF	Q9NZM1
N4BP2L2	Q92802
NAA50	Q9GZZ1
NBPF1	Q3BBV0
NBR1	Q14596
NCOA6	Q14686
NDEL1	Q9GZM8
NEK1	Q96PY6
NEK4	P51957
NSMAF	Q92636
NUP43	Q8NFH3
OAT	P04181
OGT	O15294
PABPC1	P11940
PALLD	Q8WX93
PAPOLA	P51003
PCDH17	O14917
PCNA	P12004
PDE4A	P27815
PDE4B	Q07343
PHF3	Q92576
PHKB	Q93100
PHYH	O14832
PIGA	P37287
PLCB1	Q9NQ66
PLEKHA2	Q9HB19
PLOD2	O00469
PLSCR1	O15162
PNISR	Q8TF01
PNN	Q9H307
POT1	Q9NUX5
PPFIA1	Q13136
PPP1R11	O60927
PPP1R12B	O60237
PPP3CA	Q08209
PPP4R2	Q9NY27
PRDX4	Q13162
PROSER1	Q86XN7
PRPF4B	Q13523
PRPSAP1	Q14558
PRR11	Q96HE9
PSAP	P07602
PTPRA	P18433
PUM2	Q8TB72
R3HCC1	Q9Y3T6
RAB27A	P51159
RANGRF	Q9HD47
RAP1A	P62834
RAP1B	P61224
RBM12	Q9NTZ6
RBM5	P52756
RBPJ	Q06330
RCN2	Q14257
REL	Q04864
RFX7	Q2KHR2
RIT1	Q92963
ROCK1	Q13464
RPH3A	Q9Y2J0
RPRD1A	Q96P16
RPS6KA2	Q15349
RSAD1	Q9HA92
SAMM50	Q9Y512
SASH1	O94885
SAT1	P21673
SAV1	Q9H4B6
SCAF11	Q99590
SEC24A	O95486
SENP7	Q9BQF6
SEPT6	Q14141
SEPT8	Q92599
SETD2	Q9BYW2
SF3A1	Q15459
SH2B3	Q9UQQ2
SH3GLB1	Q9Y371
SLC11A2	P49281
SLC12A5	Q9H2X9
SLC26A2	P50443
SLC35A3	Q9Y2D2
SLC41A3	Q96GZ6
SMAD5	Q99717
SMARCA2	P51531
SMC5	Q8IY18
SMNDC1	O75940
SNAPC3	Q92966
SNX11	Q9Y5W9
SOCS2	O14508
SORBS1	Q9BX66
SPARC	P09486
SPEN	Q96T58
SPOCK1	Q08629
SRSF10	O75494
SRSF4	Q08170
SSBP3	Q9BWW4
SSFA2	P28290
STAG2	Q8N3U4
STRN3	Q13033
STX16	O14662
STX2	P32856
SUN1	O94901
TARDBP	Q13148
TBC1D2B	Q9UPU7
TCEAL1	Q15170
TCF12	Q99081
TGOLN2	O43493
THUMPD2	Q9BTF0
TIMP2	P16035
TMCO1	Q9UM00
TMED10	P49755
TMEM165	Q9HC07
TMEM38B	Q9NVV0
TMEM43	Q9BTV4
TMOD2	Q9NZR1
TMX1	Q9H3N1
TNFAIP3	P21580
TPP1	O14773
TRAK1	Q9UPV9
TRIM5	Q9C035
TRIT1	Q9H3H1
TSPYL5	Q86VY4
TWIST1	Q15672
TXN2	Q99757
U2SURP	O15042
UBXN7	O94888
UCHL1	P09936
UNC13B	O14795
UPF3B	Q9BZI7
USP3	Q9Y6I4
VCAN	P13611
VDAC1	P21796
WASF1	Q92558
WDR11	Q9BZH6
WIPI2	Q9Y4P8
WSB1	Q9Y6I7
YY1AP1	Q9H869
ZBTB10	Q96DT7
ZBTB5	O15062
ZBTB7A	O95365
ZCCHC10	Q8TBK6
ZCCHC6	Q5VYS8
ZCCHC8	Q6NZY4
ZFC3H1	O60293
ZFX	P17010
ZFYVE26	Q68DK2
ZNF12	P17014
ZNF292	O60281
ZNF573	Q86YE8
ZNF83	P51522
