"SUID","name","selected","shared name"
"128285","PPP1R15A","false","PPP1R15A"
"128286","LYN","false","LYN"
"128288","RBPJ","false","RBPJ"
"128289","FHL1","false","FHL1"
"128291","PUM2","false","PUM2"
"128292","MED23","false","MED23"
"128294","LAPTM5","false","LAPTM5"
"128295","NEDD4L","false","NEDD4L"
"128297","MBP","false","MBP"
"128298","ROCK1","false","ROCK1"
"128300","PCNA","false","PCNA"
"128301","RFC5","false","RFC5"
"128303","PPP3CA","false","PPP3CA"
"128304","CRTC2","false","CRTC2"
"128306","FKBP1A","false","FKBP1A"
"128308","TGOLN2","false","TGOLN2"
"128309","AP2M1","false","AP2M1"
"128311","NONO","false","NONO"
"128313","PRKDC","false","PRKDC"
"128315","MUTYH","false","MUTYH"
"128317","SRGAP3","false","SRGAP3"
"128318","WASF1","false","WASF1"
"128320","MAPK8","false","MAPK8"
"128321","REL","false","REL"
"128323","DDX17","false","DDX17"
"128325","KIT","false","KIT"
"128327","CSNK2B","false","CSNK2B"
"128329","VDAC1","false","VDAC1"
"128330","BAX","false","BAX"
"128332","VCL","false","VCL"
"128333","EEF1A1","false","EEF1A1"
"128335","SNTB2","false","SNTB2"
"128336","ERBB4","false","ERBB4"
"128339","CCND1","false","CCND1"
"128340","KLF6","false","KLF6"
"128342","PPIA","false","PPIA"
"128344","SNRP70","false","SNRP70"
"128345","SRSF10","false","SRSF10"
"128347","HLA-B","false","HLA-B"
"128348","B2M","false","B2M"
"128350","ERC2","false","ERC2"
"128351","PPFIA1","false","PPFIA1"
"128353","ABL1","false","ABL1"
"128354","ABL2","false","ABL2"
"128356","ATF7IP","false","ATF7IP"
"128357","CDH11","false","CDH11"
"128359","SPRY2","false","SPRY2"
"128360","CBLB","false","CBLB"
"128362","SH3GL2","false","SH3GL2"
"128365","LCP2","false","LCP2"
"128369","PDE4D","false","PDE4D"
"128371","UBB","false","UBB"
"128373","HSPA9","false","HSPA9"
"128375","DLG4","false","DLG4"
"128377","MRE11A","false","MRE11A"
"128378","NEK1","false","NEK1"
"128380","FEZ1","false","FEZ1"
"128382","PPP2R5D","false","PPP2R5D"
"128384","TRAF4","false","TRAF4"
"128385","PLSCR1","false","PLSCR1"
"128387","BAK1","false","BAK1"
"128389","HSF1","false","HSF1"
"128390","NCOA6","false","NCOA6"
"128392","APLP1","false","APLP1"
"128394","PARD3","false","PARD3"
"128395","PLCB1","false","PLCB1"
"128397","PARD6A","false","PARD6A"
"128399","GIT1","false","GIT1"
"128401","RFC2","false","RFC2"
"128403","WIZ","false","WIZ"
"128404","CTBP2","false","CTBP2"
"128406","CYP2E1","false","CYP2E1"
"128407","UBC","false","UBC"
"128409","RPS10","false","RPS10"
"128410","EIF3E","false","EIF3E"
"128412","CSNK2A2","false","CSNK2A2"
"128413","AUTS2","false","AUTS2"
"128415","HCLS1","false","HCLS1"
"128417","RPS13","false","RPS13"
"128419","HELZ","false","HELZ"
"128420","SAV1","false","SAV1"
"128422","YWHAG","false","YWHAG"
"128423","DENND4A","false","DENND4A"
"128425","CEBPE","false","CEBPE"
