Gene symbol,Cell type
ACAA2,Astrocytes
ACACB,Astrocytes
ACBD7,Astrocytes
ACOT11,Astrocytes
ACSBG1,Astrocytes
ACSS1,Astrocytes
ADORA2B,Astrocytes
AGT,Astrocytes
AGXT2L1,Astrocytes
AHCYL1,Astrocytes
AHCYL2,Astrocytes
ALDH1L1,Astrocytes
AMOT,Astrocytes
APCDD1,Astrocytes
APOE,Astrocytes
AQP4,Astrocytes
ARHGEF26,Astrocytes
BBOX1,Astrocytes
BBS2,Astrocytes
BCAN,Astrocytes
BMPR1B,Astrocytes
C10orf131,Astrocytes
C14orf159,Astrocytes
C1orf61,Astrocytes
CACHD1,Astrocytes
CD109,Astrocytes
CDC42EP4,Astrocytes
CDH20,Astrocytes
CHST9-AS1,Astrocytes
CLDN10,Astrocytes
CLU,Astrocytes
CMYA5,Astrocytes
CTSH,Astrocytes
CXCR7,Astrocytes
CYP4V2,Astrocytes
DCHS2,Astrocytes
DDAH1,Astrocytes
DIO2,Astrocytes
DNAH7,Astrocytes
DPY19L3,Astrocytes
DTNA,Astrocytes
EDNRB,Astrocytes
EFEMP1,Astrocytes
ELOVL2,Astrocytes
EPHX1,Astrocytes
FADS2,Astrocytes
FAM167A,Astrocytes
FAM181B,Astrocytes
FAM189A2,Astrocytes
FAM198B,Astrocytes
FAM59B,Astrocytes
FAS,Astrocytes
FAT1,Astrocytes
FGF2,Astrocytes
FLJ42875,Astrocytes
FLJ46906,Astrocytes
FZD8,Astrocytes
GFAP,Astrocytes
GJA1,Astrocytes
GJB6,Astrocytes
GLI3,Astrocytes
GLIS3,Astrocytes
GLUD1,Astrocytes
GLUD2,Astrocytes
GNA14,Astrocytes
GPAM,Astrocytes
GPC5,Astrocytes
GPR125,Astrocytes
GPR98,Astrocytes
GRAMD1C,Astrocytes
GRIN2C,Astrocytes
HEPH,Astrocytes
HGF,Astrocytes
HPR,Astrocytes
HRSP12,Astrocytes
HSD17B6,Astrocytes
ID4,Astrocytes
IDH2,Astrocytes
IL33,Astrocytes
INHBB,Astrocytes
ITGA6,Astrocytes
ITGA7,Astrocytes
ITGB4,Astrocytes
ITM2C,Astrocytes
KCNJ16,Astrocytes
KCNN3,Astrocytes
LAMA1,Astrocytes
LGI4,Astrocytes
LGR4,Astrocytes
LHX2,Astrocytes
LIFR,Astrocytes
LINC00478,Astrocytes
LIX1,Astrocytes
LOC100130894,Astrocytes
LOC100134868,Astrocytes
LOC100289473,Astrocytes
LOC100505933,Astrocytes
LOC285441,Astrocytes
LOC399715,Astrocytes
LOC641364,Astrocytes
METTL7A,Astrocytes
MFGE8,Astrocytes
MGST1,Astrocytes
MLC1,Astrocytes
MMD2,Astrocytes
MRO,Astrocytes
MRVI1,Astrocytes
MSI2,Astrocytes
MT1G,Astrocytes
MT3,Astrocytes
MYBPC1,Astrocytes
MYO10,Astrocytes
NACC2,Astrocytes
NADKD1,Astrocytes
NBPF10,Astrocytes
NHSL1,Astrocytes
