"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Fold.Change","C_GSM764196.CEL","C_GSM764197.CEL","C_GSM764198.CEL","P_GSM764189.CEL","P_GSM764190.CEL","P_GSM764191.CEL","P_GSM764192.CEL","P_GSM764193.CEL","P_GSM764194.CEL","P_GSM764195.CEL","countP"
"SERBP1",0.770290408,7.71151462,4.775658497,0.000491161,0.522212085,-0.942836774,1.705613081,153.1292452,126.8461316,154.4924218,256.7797296,294.1730743,314.4513436,200.6012437,183.9722071,232.5837483,267.5144593,10
"JMJD1C",0.562504982,7.155262469,4.262705605,0.001177901,0.522212085,-1.420786949,1.476831246,128.9211772,101.4339027,97.66605837,151.9284204,142.2620733,204.8601175,167.0900149,150.9743579,139.4924218,174.0385134,10
"OSBPL8",1.141179598,9.305996118,4.088196676,0.001598121,0.522212085,-1.594174753,2.205612881,457.4414066,403.3008431,261.0813215,1366.802133,477.3560557,979.3924218,680.9295689,944.4924218,648.8924218,803.7502268,10
"UBE2W",0.713414839,5.865675806,3.818609434,0.002577491,0.522212085,-1.872361746,1.639680629,36.55015493,43.67966976,43.96125279,99.38414066,73.00141503,80.79323589,56.71942838,56.95465844,68.39546849,49.9911585,10
"VPS13B",0.477159013,7.443025277,3.761398864,0.00285537,0.522212085,-1.932945736,1.391999808,155.4287032,110.9699041,152.5256546,184.9632169,188.8453413,237.379309,182.7098043,170.7924218,202.1021858,185.0219994,10
"TCF4",0.794443668,8.677714257,3.757239112,0.00287674,0.522212085,-1.937371166,1.734408423,288.7747903,283.3924218,263.9924218,778.3924218,432.1791615,557.5175256,432.7342205,438.9445845,317.8609361,541.9944526,10
"WSB1",0.86389951,7.503957289,3.634870618,0.00358477,0.522212085,-2.068761894,1.819950876,162.1971628,93.79242718,111.7924218,275.0924218,225.806494,328.9924218,165.8751246,215.2924218,213.2047897,146.7340816,10
"TARDBP",0.401806632,8.761657564,3.397827551,0.005508457,0.522212085,-2.329531112,1.321161316,346.9207405,397.0877859,330.7052879,445.9341504,441.2890029,620.0691766,434.0078524,435.9813317,471.1849849,478.7056437,10
"ADAMTS1",1.170591755,7.883876471,3.380312056,0.005686962,0.522212085,-2.349102433,2.251040097,162.5512108,108.4776325,135.9924218,687.5920558,218.6922011,258.4667508,159.2924218,355.0719411,360.9288995,284.1096133,10
"RBMS1",0.765531211,7.314750249,3.316327189,0.006390565,0.522212085,-2.420923369,1.699995834,86.19247748,138.6722148,110.7843441,256.9742349,135.7266349,254.7924218,154.6354027,144.4531555,169.8481423,234.3242396,10
"ZBTB20",0.42919609,9.975614149,3.299101029,0.006594675,0.522212085,-2.440344059,1.346483069,693.311249,834.0813679,944.9714819,1416.93912,1182.705152,1073.383889,1091.924228,966.0374525,1004.177652,1028.148159,10
"SREK1",0.730140857,5.395213191,3.250829367,0.00720257,0.522212085,-2.494949128,1.658801041,29.70106475,27.68070469,31.32173579,64.734271,72.72874844,56.53740539,36.32946902,35.28642686,37.19296112,53.32259951,6
