"","C_JK.C.05.07.CEL","C_JK.C.12.07.CEL","C_JK.C.35.96.CEL","C_JK.C.39.97.CEL","C_JK.CC2.CEL","C_JK.CC4.CEL","P_LC.04.06.CEL","P_LC.299.99.CEL"
"NACA",220.7713466,156.3401788,114.4930822,109.7075168,96.04062173,116.1910049,20.0738474,51.49432669
"RPS16",426.6870398,322.8276328,270.3819711,270.3819711,270.3819711,452.6009049,60.83331903,171.2941002
"SF3B1",127.6595321,71.26084418,62.06292001,64.54541822,83.66568118,91.82641554,25.07983867,39.82517168
"TAOK3",3.223467395,2.953931773,3.095675136,3.542334635,3.542334635,3.483101145,4.724929598,4.574810035
"PLEKHB1",46.438325,107.9375267,16.41485784,22.96998364,63.19522697,52.50291108,4.724929598,12.69853871
"SLC16A7",2.128313783,2.307811171,3.008942807,1.945764031,2.889472018,1.831466166,4.443373263,6.184259926
"NAV2",31.31689995,30.33699733,23.9038251,27.43009722,38.98217336,21.6878173,42.63373699,72.88523227
"CST3",66.82511948,89.69422237,12.21223851,14.93782499,20.23247478,26.97025171,4.546507382,7.13364746
"CALD1",24.25010607,6.356526514,21.97860892,8.914104903,15.95439961,17.96461962,3.802409177,7.020632743
"ADAMTS1",7.597058291,26.35602537,64.63261322,26.16532351,24.04718914,37.0130091,5.035422085,10.18588236
"SERBP1",89.05058879,48.95513026,39.09013727,38.14566666,49.44604567,56.61892225,21.21489487,35.04081297
"BGN",11.08490465,6.483553246,8.358993627,4.287047149,5.801302235,5.801302235,2.690455403,2.098940686
"SREK1",3.998020169,3.35197717,5.559504869,4.496873071,4.013101761,4.724929598,5.379940461,8.292309958
"NKTR",1.743532344,1.350473826,1.429801266,1.324778056,1.614639327,2.133488631,4.109568801,1.897483263
"TUBB4B",79.85131007,340.0293779,164.772297,195.9972368,83.34641827,39.09013727,19.70051272,37.41575393
"DCN",117.8850683,17.96461962,32.43941798,19.34882034,33.73040877,29.4931908,7.240608591,9.884726788
"SNX27",24.01957398,48.10674666,37.64961757,25.02788385,29.08189485,32.60484906,16.15023544,22.40074613
"GLG1",43.77343984,39.0305108,26.56133261,48.43922005,20.9878667,26.56133261,11.86210917,26.56133261
"RPL35A",100.3392585,60.87327041,91.27863594,91.71530443,75.14073807,101.27086,53.19668103,55.16365533
"UBE2L3",5.681047207,20.78747273,13.02301131,15.82651457,13.17656187,7.836726943,1.230381045,9.303814637
"SRSF11",14.17774675,9.414923426,9.887352757,7.153238147,17.24228151,10.10795453,16.7566481,25.77950418
"CCDC93",5.517845825,5.306299895,5.077532622,5.306299895,5.306299895,3.97987111,6.872894178,6.278152006
"ZFHX3",28.26900921,21.454697,18.10715046,14.78129434,15.92801322,19.97285216,14.17952376,10.59406843
"TMED10",3.532934474,3.829756557,3.272299601,2.223548983,4.281507447,10.29999747,16.32136678,7.28608509
"ANXA1",101.8877352,10.29999747,10.29999747,8.262551556,23.32575279,29.99647362,2.217378444,5.532241652
"RBM39",53.3549745,24.03007216,28.58478349,29.24796338,36.2126101,46.7185958,18.58259695,26.3924427
"SNRPB",6.674294412,20.96050722,5.306337474,13.62177731,10.29999747,6.024322479,2.990231594,5.010322983
"PFDN1",26.1495167,38.20648888,26.987159,34.2250543,26.82589553,14.00953295,11.80536009,18.12088203
"RPL12",151.9063922,94.55751499,94.55751499,67.25765218,119.905778,162.9273957,69.10220933,65.02609227
"ANKRD40",34.37323591,63.07936331,32.25512819,32.52194966,54.37220374,57.6609754,27.22799927,28.96960774
"MMRN2",1.636950499,1.800086569,2.387801223,2.110570896,3.008942807,2.783666182,1.345358868,1.609244225
"PNN",73.76120418,23.26216539,12.44629805,13.60561436,10.10290514,37.0130091,6.114311987,11.30130836
"RBMS1",14.52838557,19.72436828,18.40906406,17.20960822,17.20960822,18.62482933,20.89603562,26.25635153
"SKIV2L2",11.08490465,18.77484919,18.77484919,19.66865379,12.66098336,7.426924958,27.61352029,19.89420448
"WSB1",66.39071095,37.72818148,19.17043032,13.67620226,37.50468306,67.16154596,10.89548626,15.82209578
"COL1A2",185.2534416,16.08671045,29.22588622,21.96751736,29.26509256,48.28776016,8.178396242,10.76508078
"MTDH",37.86677913,66.98492597,36.34634243,59.87068506,33.48776349,32.54296244,19.59754296,36.34634243
"PSMB2",33.11756101,90.73397452,58.29452027,89.45787699,34.1468917,18.52941839,8.292309958,41.35239585
"KCTD12",66.49308233,45.84653549,46.74899886,33.76413151,59.96646319,78.47414131,26.84924446,23.41622404
"JAG1",37.0130091,11.91051848,26.02064319,10.07518212,40.44067394,36.05076497,5.956301006,6.1996221
"RAB31",16.57729854,38.23383747,11.64619266,15.26054378,13.94921228,14.00953295,7.621196057,11.60131436
"CRYL1",13.84974876,25.88563887,11.86178006,14.00248482,17.30787226,9.082280963,6.515172736,12.17062026
"TCF4",64.44163756,7.64257851,12.071309,6.384309178,18.54607484,28.00577705,3.467750962,7.012273
"ARIH1",11.12413951,9.414923426,10.07650751,11.08931527,9.414923426,6.607547983,5.130673485,9.705233605
"TARDBP",40.98840583,62.66214406,36.34634243,58.15327713,19.86112938,43.62433112,13.8097516,33.96828616
"RPL22",59.80618349,60.0490393,61.38197569,58.93754959,31.35635442,46.67199294,34.75393115,32.84136138
"SFPQ",25.67186214,23.6683464,16.48356877,9.290966777,7.301734409,19.12215402,8.232391256,6.297788374
"KLF6",50.95869504,35.31974678,26.56133261,20.79708107,20.79773194,32.01979137,12.48131747,26.01870454
"IFI16",8.961343923,7.967464952,4.834720316,2.947162764,4.400336994,4.492327294,1.822991766,4.393109126
"PPIC",22.30557929,13.8553658,23.67077151,20.92415772,14.04819026,12.43847969,9.462744909,16.84724695
"MCMBP",5.147835774,3.97987111,3.523127319,3.97987111,4.520229074,3.97987111,1.575171139,4.672714855
"GNAI3",4.438336403,5.658036507,3.741936041,6.711189355,4.31539516,6.901992983,3.329904529,4.538576027
"RIOK3",7.087328109,18.68940095,4.550361302,5.500892718,3.460939365,3.070064369,1.443693755,4.057068755
"LPP",24.87275516,22.44350893,51.03661714,21.44200515,21.44200515,19.89914145,12.10639909,14.86347671
"MCL1",96.05989148,106.8264155,78.66300317,79.07460131,78.99382279,125.0722112,52.743752,85.6445876
"RBM5",2.584896065,1.585260253,1.769358862,1.276705374,1.800086569,2.923470093,2.194162115,3.750741813
"RANBP2",13.52735761,8.139626817,10.76612873,12.15559958,13.10795703,17.96461962,3.039224622,16.27114836
"TBCB",37.05385771,278.0510032,131.7576764,200.285997,66.38197122,39.09013727,25.26417673,77.13403119
"FAM120A",134.0767387,78.63925428,102.2851907,84.3819711,74.20676629,121.2332137,62.34506635,87.98280663
"PTPRB",4.131326662,3.635279429,4.108919816,4.127306686,10.11102221,7.077488734,3.73360442,2.71638891
"SRI",51.48019618,49.35222015,31.80079887,62.66841529,22.57342359,12.31566318,10.80178397,21.05581899
"PHTF2",1.64251306,1.833088362,1.833088362,1.567899349,1.833088362,1.833088362,2.03324903,7.301734409
"SCAF11",27.80905417,8.292309958,11.70552533,9.694997548,13.38848617,19.82935029,8.577562843,9.205447839
"FAM46A",19.11240599,35.31123598,19.33901733,30.35879069,15.27767077,18.52017517,14.00953295,15.68975857
"ZNF148",3.724477894,4.191804073,3.533862675,5.618080564,2.551155854,2.893584455,3.334918041,2.420772529
"ZBTB20",58.00157884,14.5844698,17.02868676,13.01047792,27.80610364,53.00258946,9.235334949,10.29999747
"HMOX2",8.49151631,31.75220027,21.57980487,54.79594987,7.406647327,6.306595092,6.439960071,8.75930631
"SUN1",131.97824,42.32308353,27.4805659,26.13512518,59.4903203,65.60419344,19.53166749,40.21036636
"TUG1",11.76328905,4.762767095,6.869490316,5.407397383,3.810875201,7.078421999,4.259344657,5.407397383
"MYOF",48.40628603,19.78803033,17.98970392,8.168803161,15.75991027,34.00857916,6.830091845,10.6114481
"PRKAR2A",40.45072066,39.64569283,20.91660485,21.15191048,36.98290847,73.46696176,69.0220602,40.45072066
"JMJD1C",24.41031609,11.09986669,12.47932604,14.00953295,20.23247478,20.55857938,7.207208225,17.66675909
"CEP57",4.377397373,2.714142081,1.809922806,2.319616073,3.008942807,3.084370454,3.517864873,6.439960071
"OSBPL8",54.49318206,88.51064853,75.08179072,78.48529302,70.82851141,30.91451798,79.3597417,119.1618806
"PPFIBP1",6.381961666,4.566445876,3.156283283,2.217001395,5.401377818,3.159189302,2.370109604,2.450106091
"LPAR1",44.27996437,19.31349551,10.72423138,9.774699388,15.63420687,48.11843469,10.15897776,8.735630844
"KPNA6",10.50380575,19.26273597,16.48356877,23.28963502,9.840845352,8.629423827,7.448253267,14.02532451
"PNISR",131.4143346,16.70579098,23.1155365,13.44780137,46.83325566,134.9042274,10.87842684,33.34862055
"C1orf61",54.93400202,40.62593976,43.01885566,55.73784292,75.96644984,58.30895954,44.12849613,23.40074613
"MAP2K5",4.798021853,37.23256421,27.92666346,72.30144657,4.192002281,3.97987111,5.501630941,5.501630941
"OSBPL3",2.553694286,2.647722992,2.553694286,2.282295975,3.843153133,2.435940214,1.110744826,3.35306488
"FXR1",22.79906171,27.86608035,25.43391127,30.19143427,21.06342221,8.629423827,33.90292469,33.06820801
"HCFC2",3.008942807,3.008942807,2.471238563,3.838533768,1.977886572,3.008942807,3.532651585,2.74966278
"AR",16.95338547,32.68968775,34.50818655,45.69877628,37.05158468,13.20007371,33.02963033,61.13769859
"RAP1GDS1",7.53235865,60.92822455,22.5919801,72.27855417,4.538576027,5.117901713,5.933152179,7.53235865
"VPS13B",19.61819731,8.448856206,10.29999747,10.29999747,9.68759344,17.62407625,6.101613229,7.073024282
"PLA2G16",10.29999747,6.883906062,8.267267991,8.565220251,13.6203875,10.29999747,9.00485202,12.49399013
"IL13RA1",24.25010607,48.92852063,34.64595281,23.28963502,23.77074655,31.44350204,20.83567215,21.40820413
"SOAT1",7.177744187,8.247489575,7.469818747,6.851591974,11.54839755,7.714106566,7.411134407,17.17709192
"G3BP1",36.79002111,21.9851868,17.06248693,15.3264514,31.35635442,14.8504101,8.567901777,30.94175668
"FOSL2",3.891971121,10.18370852,9.741146502,6.072036995,5.787845768,6.369660922,5.10474547,5.787845768
"DMD",88.72068023,9.653649203,23.10394548,13.66934943,55.49318206,87.57355549,11.58374317,7.577021359
"ALMS1",25.80167771,14.79786904,6.128005569,3.97987111,16.34338344,36.14940921,31.68588909,16.82894632
"NR2F2",67.13790505,10.26858719,37.39346359,16.59467988,17.66273796,16.59467988,7.628311109,11.77443095
"RPS29",4.538576027,4.44693854,3.666383353,4.411561898,4.228263873,3.97987111,2.818868947,4.963368064
