Genename,disgene
APEX1,TRUE
APOE,TRUE
AR,TRUE
CCS,TRUE
CNTF,TRUE
CYP2D6,TRUE
ALAD,TRUE
DYNC1H1,TRUE
CHGB,TRUE
GLE1,TRUE
TBK1,TRUE
ITPR2,TRUE
GRN,TRUE
LIPC,TRUE
NT5C1A,TRUE
ZFP64,TRUE
DISC1,TRUE
SLC39A11,TRUE
ZNF746,TRUE
FGGY,TRUE
DPP6,TRUE
LUM,TRUE
RNF19A,TRUE
SOX5,TRUE
OMA1,TRUE
GRB14,TRUE
PON2,TRUE
PON3,TRUE
SLC1A2,TRUE
SMN1,TRUE
SMN2,TRUE
SNCG,TRUE
SUSD1,TRUE
B4GALT6,TRUE
OGG1,TRUE
AGT,TRUE
C1orf27,TRUE
VPS54,TRUE
FEZF2,TRUE
DOC2B,TRUE
CNTN6,TRUE
PSEN1,TRUE
PVR,TRUE
SOD2,TRUE
SPG7,TRUE
VDR,TRUE
VEGFA,TRUE
RBMS1,TRUE
CSNK1G3,TRUE
BCL11B,TRUE
NETO1,TRUE
CDH22,TRUE
DIAPH3,TRUE
GARS,TRUE
HEXA,TRUE
HFE,TRUE
KIFAP3,TRUE
LIF,TRUE
LOX,TRUE
MAOB,TRUE
MAPT,TRUE
MT-ND2,TRUE
NAIP,TRUE
CRYM,TRUE
SYT9,TRUE
CRIM1,TRUE
SCN7A,TRUE
EFEMP1,TRUE
KDR,TRUE
CDH13,TRUE
PON1,TRUE
CNTN4,TRUE
SELL,TRUE
EWSR1,TRUE
PARK7,TRUE
HNRNPA2B1,TRUE
NIPA1,TRUE
SEMA6A,TRUE
ZNF512B,TRUE
RNASE2,TRUE
PLEKHG5,TRUE
BCL6,TRUE
RAMP3,TRUE
SS18L1,TRUE
PCP4,TRUE
CST3,TRUE
EPHA4,TRUE
ARHGEF28,TRUE
TRPM7,TRUE
SARM1,TRUE
CX3CR1,TRUE
TUBA4A,TRUE
SYNE,TRUE
ALS2,TRUE
ALS3,TRUE
SETX,TRUE
SPG11,TRUE
ALS7,TRUE
VAPB,TRUE
ANG,TRUE
TARDBP,TRUE
FIG4,TRUE
OPTN,TRUE
ATXN2,TRUE
VCP,TRUE
UBQLN2,TRUE
SIGMAR1,TRUE
CHMP2B,TRUE
PFN1,TRUE
ERBB4,TRUE
HNRNPA1,TRUE
MATR3,TRUE
CHCHD10,TRUE
C9orf72,TRUE
UNC13A,TRUE
DAO,TRUE
DCTN1,TRUE
NEFH,TRUE
PRPH,TRUE
SQSTM1,TRUE
TAF15,TRUE
SPAST,TRUE
ELP3,TRUE
LMNB1,TRUE
GFAP,TRUE
HTT,TRUE
SCN1A,TRUE
