UniProtAccession	GeneSymbol	
Q969H0	FBXW7	
Q9Y3C5	RNF11	
Q96PU5	NEDD4L	
Q9UKV0	HDAC9	
Q9UQB8	BAIAP2	
Q12879	GRIN2A	
Q969H0	FBXW7	
Q969H0	FBXW7	
Q969H0	FBXW7	
P46109	CRKL	
Q969H0	FBXW7	
P37840	SNCA	
Q9NQ86	TRIM36	
Q969H0	FBXW7	
Q96PU8	QKI	
Q9UPX8	SHANK2	
P17600	SYN1	
Q969H0	FBXW7	
P17677	GAP43	
Q969H0	FBXW7	
Q9UKV0	HDAC9	
Q9BV94	EDEM2	
Q9NSC5	HOMER3	
Q969H0	FBXW7	
Q96PU8	QKI	
Q9H3D4	TP63	
Q9NRL2	BAZ1A	
Q92777	SYN2	
Q63ZY3	KANK2	
P17600	SYN1	
P49802	RGS7	
Q9NRL2	BAZ1A	
Q9UKV0	HDAC9	
Q9UKV0	HDAC9	
Q9UKV0	HDAC9	
Q9UKV0	HDAC9	
Q9UKV0	HDAC9	
P17600	SYN1	
Q9NSC5	HOMER3	
P27986	PIK3R1	
P20936	RASA1	
Q14831	GRM7	
Q93050	ATP6V0A1	
Q9HBL0	TNS1	
Q969V6	MKL1	
P13473	LAMP2	
Q9Y5W3	KLF2	
Q969V6	MKL1	
Q96G61	NUDT11	
Q9NPH2	ISYNA1	
Q9P0V9	SEPT10	
P0CG48	UBC	
P17600	SYN1	
Q14289	PTK2B	
Q9UHD8	SEPT9	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9Y6Y8	SEC23IP	
Q99558	MAP3K14	
P0CG48	UBC	
Q9NVA2	SEPT11	
Q14289	PTK2B	
Q9NRL2	BAZ1A	
O43513	MED7	
Q9H2G4	TSPYL2	
Q14571	ITPR2	
Q9UBB6	NCDN	
Q14289	PTK2B	
O60307	MAST3	
Q99469	STAC	
Q14289	PTK2B	
Q14289	PTK2B	
Q14289	PTK2B	
Q14289	PTK2B	
Q14289	PTK2B	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9NVA2	SEPT11	
Q9H2G4	TSPYL2	
Q9NRL2	BAZ1A	
Q9NRL2	BAZ1A	
Q96PU8	QKI	
P26368	U2AF2	
Q969V6	MKL1	
Q969H0	FBXW7	
Q969V6	MKL1	
Q9Y4G6	TLN2	
Q9Y4G6	TLN2	
Q9UKV0	HDAC9	
Q9NQ86	TRIM36	
O15519	CFLAR	
O15085	ARHGEF11	
Q96PU8	QKI	
P25788	PSMA3	
O14578	CIT	
Q9H944	MED20	
Q8WUU5	GATAD1	
Q969H0	FBXW7	
Q9UKV0	HDAC9	
P13473	LAMP2	
Q496A3	SPATS1	
Q8TEE9	SAP25	
Q9UPW8	UNC13A	
Q9NRL2	BAZ1A	
Q93050	ATP6V0A1	
O43251	RBFOX2	
Q63ZY3	KANK2	
Q9NYL4	FKBP11	
Q14CM0	FRMPD4	
Q9UKV0	HDAC9	
Q9H2G4	TSPYL2	
Q9H2G4	TSPYL2	
Q9UKV0	HDAC9	
Q63ZY3	KANK2	
Q63ZY3	KANK2	
Q63ZY3	KANK2	
Q9Y6Q9	NCOA3	
Q63ZY3	KANK2	
Q63ZY3	KANK2	
Q63ZY3	KANK2	
Q9Y2X0	MED16	
Q9NPI6	DCP1A	
Q8NHQ1	CEP70	
Q86YR5	GPSM1	
Q63ZY3	KANK2	
Q63ZY3	KANK2	
Q63ZY3	KANK2	
O00451	GFRA2	
Q14289	PTK2B	
P50591	TNFSF10	
Q9Y2X0	MED16	
Q9NSC5	HOMER3	
O14682	ENC1	
Q8N1B4	VPS52	
Q9UPX8	SHANK2	
P62877	RBX1	
Q969H0	FBXW7	
Q9NRL2	BAZ1A	
Q9UBB6	NCDN	
P55072	VCP	
Q969H0	FBXW7	
O14578	CIT	
P13473	LAMP2	
P48023	FASLG	
Q969H0	FBXW7	
