GeneSymbol	P_GSM329692.CEL	P_GSM329694.CEL	P_GSM329697.CEL	P_GSM329700.CEL	P_GSM329703.CEL	P_GSM329704.CEL	P_GSM329707.CEL	P_GSM329709.CEL	P_GSM329711.CEL	P_GSM329714.CEL
ACTN1	1047.380019	912.2533884	1230.556873	1187.497481	798.3226297	862.2255442	745.2724723	1191.187399	941.5029186	1157.453318
AHCTF1	109.446694	100.7239504	104.6101942	141.2979082	149.3070454	105.0523155	73.14361176	61.34886589	103.6505327	202.7336061
ALDH3A2	343.2900525	395.7201001	480.7300512	346.9240341	722.2895115	237.1036193	449.8719113	251.8306625	250.4468995	293.5907514
ALPK1	195.7711044	165.1552129	118.3498699	174.8670675	179.6491402	229.9833719	189.8903369	82.53557808	169.0528952	215.3599553
ANKRD17	343.6016094	314.5824192	433.9833261	488.3089024	386.212076	294.4322453	213.5289205	438.6083261	457.7339463	507.8009429
ANXA1	1473.715419	615.3542824	163.7871407	339.3592361	1043.453363	131.636111	537.1083261	189.5004067	142.1855163	393.6916595
AP2S1	530.9335589	563.2835332	1039.429232	585.2333261	511.3015634	492.1184731	462.6654043	958.2012398	581.1220971	552.924089
ARHGAP29	530.3583261	234.7179066	165.4636619	386.449225	159.1227456	132.3863892	229.537455	155.4475822	297.0887614	407.4416595
ARIH1	186.2563088	232.7966605	311.5883887	283.8682887	263.3049617	170.3805907	154.0671582	278.649993	227.3772334	240.7919961
ATM	125.2191009	41.79836509	21.87358771	71.80630474	88.18643914	47.92643362	27.19437808	28.89469934	80.66163771	112.5255468
ATP2C1	194.5493536	195.1431015	320.486436	257.5343691	277.0198571	216.3304099	190.5713233	298.8878617	267.4635378	227.1335968
ATP5C1	1422.93978	1730.203504	2173.016795	1752.316659	1785.392989	1203.552756	1469.495202	2505.37404	1896.532268	1128.448858
ATP5E	2900.462546	2765.769542	2641.789585	2867.374282	3110.449037	2877.633046	3257.774993	3253.995194	1965.834995	2610.3188
AURKAIP1	941.8124086	1300.387594	1666.575806	1040.651702	849.3931353	870.2333261	1150.149993	1517.291549	864.0041595	721.9416595
BBIP1	344.6203524	285.9915147	225.9833932	282.1364976	363.6317835	219.8880688	247.6919387	255.9416624	320.441706	304.3999928
BGN	452.7784745	303.8799882	162.9133183	234.7046249	153.694443	210.7713851	298.9658173	158.7891093	129.3776178	181.8407417
BPTF	680.7639478	565.7032283	346.8999928	549.2761932	704.9081694	870.7906917	555.7920808	324.9914476	640.8166595	759.8398271
BTN3A3	82.2705527	110.0776981	110.9619173	60.87362008	83.47446722	60.9021968	74.25397899	94.5745064	66.26622756	69.01725361
C14orf1	209.1503517	356.8999928	392.171882	287.5385543	301.7191413	302.2214757	340.9145818	368.4019588	239.624613	205.0840177
C1orf61	3850.525259	3643.83671	3386.547852	2791.693692	4052.964538	5134.933784	5638.43239	4598.863457	3604.941659	2487.845786
C6orf106	51.35869533	78.29917535	73.07049136	95.84559738	90.48744301	112.9390815	88.10563574	80.91811582	75.01668324	65.71887585
CCDC53	376.7749928	381.2546465	324.0794667	323.0840239	298.7110652	241.8143659	293.1669774	442.8866979	363.9839888	255.3275179
CCDC93	160.4091086	95.71619794	84.74137952	154.4359126	89.73367671	101.475536	79.82714349	77.72611144	166.8379533	140.1461388
CCT3	617.0593134	771.2506416	1160.151716	663.3695698	643.7549292	491.5233862	567.7495452	781.603784	489.476176	726.7135123
CDC16	240.8392199	212.5669136	201.1298583	214.8586015	194.7175036	106.9614568	145.7305179	199.8591048	258.0936567	204.2900621
CDH11	217.6346205	140.5156627	79.35270206	153.8537616	161.8151867	156.6566152	158.1219668	120.8286543	156.3884627	113.5005677
CELF1	27.08937833	36.51753813	39.64543229	38.1798658	54.51605843	27.86580015	29.49758919	32.35473247	34.5337236	47.9563775
CEP170B	371.9169998	483.3839396	780.7977128	494.7453106	424.0620101	488.4416595	294.3836138	715.6291926	731.1964945	465.3139973
CIAPIN1	105.5086784	146.2138797	393.3280703	190.721204	142.6295254	114.0174022	102.2735271	264.122422	171.03235	159.7142745
CLCN5	15.51205011	13.27448346	16.05293713	15.02034648	15.8988033	16.08268278	15.69680169	15.59331344	14.79491054	16.52920978
CLNS1A	774.2884436	895.7749928	703.0980809	732.8166595	658.381643	657.4641661	818.5909235	855.9861421	678.3894607	579.4581248
COA3	992.2324546	1204.483326	1831.392232	899.6088468	894.9822465	943.6223916	1093.918231	1658.438205	980.9361484	739.6499928
COL4A1	360.7358275	163.0919617	134.5699612	772.9199558	487.716747	158.2963304	715.1091959	124.9685256	171.6161087	517.3880903
COPG1	115.3894976	127.2995369	179.4270654	159.4724447	96.88738285	142.2379668	98.99591389	229.9000386	163.8467999	103.0390378
CREB3L2	320.4846999	187.5317382	97.96998831	150.4906099	185.5828986	169.2110143	270.488876	109.0752791	93.66422034	128.8671999
CREG1	927.9869979	708.923968	563.8476767	802.4614114	782.5008641	540.078806	685.832685	651.8094807	637.4604861	524.8036472
CSRP1	3769.610007	4871.179125	2913.705888	1987.295602	2734.629894	3824.283725	4821.550435	2400.096077	2020.727648	2727.230121
