,median
ACTN1,12.50438833
AHCTF1,3.551882984
ALDH3A2,30.84836746
ALPK1,5.721752291
ANKRD17,11.6263297
ANXA1,1.331731059
AP2S1,10.57316994
ARHGAP29,4.151388163
ARIH1,4.973938966
ATM,1.470230079
ATP2C1,12.52735694
ATP5C1,50.93516199
ATP5E,213.9730569
AURKAIP1,36.33125744
BBIP1,13.77124248
BGN,3.276905656
BPTF,14.02158153
C14orf1,9.694478114
C1orf61,47.36188872
C6orf106,12.61393257
CCDC53,3.135033104
CCDC93,1.867538251
CCT3,17.58092629
CDC16,55.1405985
CDH11,1.922372176
CELF1,10.93717304
CEP170B,48.84834666
CIAPIN1,7.04165939
CLCN5,2.31202394
CLNS1A,14.64257559
COA3,57.2560474
COL4A1,4.288559533
COPG1,14.16521255
CREB3L2,2.535478654
CREG1,8.696415356
CSRP1,29.18970319
CST3,9.697163111
CTDSP2,10.7964703
CTNNB1,6.246279133
CXorf40B,1.395053156
CYP1B1,1.683330265
DCN,3.31411943
DDX5,19.50481911
DLST,4.946995957
DMD,3.043188956
DST,1.203852023
EIF2S2,5.583089076
ERGIC2,5.490267924
ERH,79.93925575
FAM120A,3.592990128
FAM129A,1.560068569
FAM168B,29.76357669
FBN1,1.556578286
FBXW7,2.706718478
GBAS,1.977056682
GLTSCR2,80.52858968
GULP1,1.590453586
HBB,10.52098932
HCFC2,1.331731059
HMOX2,3.999219629
HNRNPH3,6.332755145
HNRNPUL1,5.935284433
HSP90AB1,30.84486458
ID2,1.979830928
IL1R1,1.917815288
ITGA6,1.683330265
JAG1,5.972080544
KAT7,7.915489337
KCTD12,2.283947674
KDM6A,1.556578286
KLC1,9.150631899
KPNA6,13.97565823
LYRM1,15.265384
MAN2A1,2.604179898
MBNL2,101.9803764
MCMBP,2.3873265
MEST,7.11737342
MGAT4A,11.4298486
MLH3,4.363724766
MON2,1.735744826
MPHOSPH9,1.870632056
MRPL16,1.437292621
MRPS17,1.791606856
MXI1,29.30296659
MYD88,4.3764703
NACA,16.5091191
NDUFC2,30.95799187
NDUFS5,233.6287049
NISCH,35.71323173
NKTR,8.999025298
NPEPPS,6.253777359
NPTX2,7.832022362
NSFL1C,7.384058786
NUTF2,29.66329309
ORAI2,29.27372122
OTUB1,9.663984973
PABPC1,70.11607823
PCDH9,35.45682916
PDCL3,2.452043078
PFDN1,15.02704935
PFDN5,7.816336285
PI4KA,36.23272397
PIAS3,5.657550556
PITPNB,31.59476615
PLEKHB1,3.198897061
PLOD2,2.751342642
POGZ,1.486685028
PPFIA1,15.58211204
PPP1R7,6.503704668
PPP2CA,48.21198303
PPP2CB,38.67962555
PRKD1,2.7781375
PRPF3,1.503486239
PSAP,158.346133
PSMD4,60.30289212
PSMD6,14.32082926
PTPN13,1.436094874
RAB40B,5.575566414
RAP1GDS1,75.76223175
RBM15,1.364335278
RNF130,4.406949338
RNF7,15.42958827
ROBO1,20.53364264
RPL12,35.72097246
RPL15,54.48220623
RPL35A,36.51920246
RPL36AL,10.87015822
RPL37,3.377465809
RPLP2,47.72063649
RPSA,176.0301648
RSAD1,5.973758949
RUVBL2,91.90853147
SCN1B,135.1544751
SERBP1,1.589941648
SF3A1,5.808112968
SF3B1,12.32034949
SKIV2L2,3.714520932
SLC2A1,19.07169567
SNAPC5,3.219531183
SNRPF,1.78587852
SON,5.015310621
SPARC,33.30289331
SRP19,34.03016604
SRSF11,6.468900009
SSBP3,3.969945136
STAT3,22.65136681
STMN1,2.301416386
SUN1,3.240858693
SYT11,32.75529773
TAB2,4.510646095
TARDBP,14.2482048
TARS,1.949193882
TBCB,86.19973182
TCF4,18.5997337
TERF2IP,112.5320003
TM4SF1,2.706718478
TMEM260,1.485249109
TMEM43,11.27771228
TMX1,2.394821411
TSPAN7,58.59671937
TUG1,2.926740842
UBE2L3,3.214506681
VPS13B,5.835676397
XPOT,48.18914853
YLPM1,2.929122544
YME1L1,2.854629365
ZFP36,12.41125859
ZFYVE26,3.24224424
ZMYND11,8.2257053
ZNF24,9.801786786
ZNF273,1.683330265
ZNF506,1.580755446
ZNF518A,1.122242179
