,CHmedian
ACTN1,18.05159076
AHCTF1,4.45732903
ALDH3A2,21.03326953
ALPK1,3.667789721
ANKRD17,10.17999249
ANXA1,3.874810048
AP2S1,9.672080138
ARHGAP29,3.999706728
ARIH1,1.556579786
ATM,4.840494578
ATP2C1,15.37165866
ATP5C1,34.68459971
ATP5E,87.96733783
AURKAIP1,17.54100364
BBIP1,4.533709912
BGN,6.295649547
BPTF,6.631441409
C14orf1,9.559872345
C1orf61,33.76462113
C6orf106,14.56463657
CCDC53,3.295796239
CCDC93,9.405002851
CCT3,11.51654259
CDC16,1.737613218
CDH11,3.715699779
CELF1,9.169732163
CEP170B,33.31090054
CIAPIN1,11.86492414
CLCN5,2.288929449
CLNS1A,22.07670571
COA3,22.22226673
COL4A1,4.568005981
COPG1,4.663373133
CREB3L2,11.34584652
CREG1,19.67823378
CSRP1,28.75535618
CST3,4.944249933
CTDSP2,22.01433237
CTNNB1,13.27379087
CXorf40B,7.563543991
CYP1B1,5.576310377
DCN,14.75676198
DDX5,50.82122855
DLST,3.776439753
DMD,9.580382265
DST,25.98251724
EIF2S2,14.1237952
ERGIC2,8.3185154
ERH,27.28782884
FAM120A,6.5199227
FAM129A,3.487728666
FAM168B,33.30269135
FBN1,7.851235483
FBXW7,12.06436231
GBAS,5.063431376
GLTSCR2,63.41908507
GULP1,2.635852903
HBB,7.287090519
HCFC2,3.141157183
HMOX2,5.240465381
HNRNPH3,7.273426898
HNRNPUL1,6.019432328
HSP90AB1,2.736503712
ID2,5.583848077
IL1R1,3.352724895
ITGA6,10.55370136
JAG1,8.99863533
KAT7,5.324921674
KCTD12,25.13273425
KDM6A,3.635279429
KLC1,11.84704376
KPNA6,6.978936091
LYRM1,42.78918689
MAN2A1,13.23177585
MBNL2,129.2486135
MCMBP,5.945262075
MEST,9.312576914
MGAT4A,2.761283849
MLH3,6.587282415
MON2,7.433915966
MPHOSPH9,6.080035004
MRPL16,5.652465107
MRPS17,4.27608504
MXI1,29.82807145
MYD88,11.94921012
NACA,37.59639822
NDUFC2,33.92172967
NDUFS5,92.71490289
NISCH,45.40273321
NKTR,2.317970184
NPEPPS,15.58518084
NPTX2,5.306811631
NSFL1C,16.63884516
NUTF2,19.20318671
ORAI2,62.19813888
OTUB1,1.815804304
PABPC1,70.27697838
PCDH9,86.63719076
PDCL3,4.581381576
PFDN1,14.0782972
PFDN5,8.010173878
PI4KA,24.85845941
PIAS3,5.404534912
PITPNB,68.50554865
PLEKHB1,6.086034426
PLOD2,1.353793784
POGZ,2.516871946
PPFIA1,43.2227463
PPP1R7,6.112985169
PPP2CA,29.47072106
PPP2CB,73.29025472
PRKD1,3.681587895
PRPF3,4.032947581
PSAP,5.47736915
PSMD4,35.66928217
PSMD6,16.38522736
PTPN13,3.357770278
RAB40B,8.278834186
RAP1GDS1,53.99405468
RBM15,2.479137293
RNF130,6.371131756
RNF7,11.4107177
ROBO1,45.39896679
RPL12,65.70403175
RPL15,90.65002653
RPL35A,31.09993593
RPL36AL,19.48082708
RPL37,238.8704962
RPLP2,9.537281765
RPSA,118.4652636
RSAD1,7.098459263
RUVBL2,42.51375357
SCN1B,31.25875696
SERBP1,21.54609153
SF3A1,37.99601763
SF3B1,9.078064991
SKIV2L2,3.158291804
SLC2A1,10.41026149
SNAPC5,6.675865309
SNRPF,2.917552596
SON,7.123738178
SPARC,48.46555949
SRP19,48.22688393
SRSF11,17.36063386
SSBP3,3.789272555
STAT3,9.286809942
STMN1,12.08712942
SUN1,20.53710357
SYT11,21.88604954
TAB2,14.27853611
TARDBP,17.43617262
TARS,6.496680898
TBCB,39.27650885
TCF4,15.08952568
TERF2IP,45.12816926
TM4SF1,6.812828696
TMEM260,3.979401948
TMEM43,16.11754613
TMX1,16.90945805
TSPAN7,27.94460214
TUG1,3.320057433
UBE2L3,1.919494556
VPS13B,9.726116426
XPOT,123.9525204
YLPM1,10.89882826
YME1L1,8.801699406
ZFP36,18.29428744
ZFYVE26,7.087328109
ZMYND11,31.67190888
ZNF24,5.817080755
ZNF273,5.185860055
ZNF506,1.793206219
ZNF518A,8.192977983
