,salsmedian
ACTN1,74.94339997
AHCTF1,41.94250693
ALDH3A2,86.59587489
ALPK1,76.40915787
ANKRD17,48.73204991
ANXA1,16.9194401
AP2S1,56.81096579
ARHGAP29,69.27598016
ARIH1,6.422743923
ATM,33.72667408
ATP2C1,76.24481112
ATP5C1,119.2564194
ATP5E,388.4087206
AURKAIP1,110.4461357
BBIP1,54.18406079
BGN,40.84525722
BPTF,56.41277895
C14orf1,57.69850666
C1orf61,214.1168921
C6orf106,93.17995913
CCDC53,18.72626624
CCDC93,59.39764216
CCT3,49.97114264
CDC16,7.903432095
CDH11,28.42327402
CELF1,39.50900006
CEP170B,126.2000891
CIAPIN1,44.97357753
CLCN5,17.82210807
CLNS1A,72.04987586
COA3,118.3743614
COL4A1,55.79720604
COPG1,52.91922476
CREB3L2,72.55194325
CREG1,93.12608374
CSRP1,188.5596834
CST3,57.21851016
CTDSP2,157.9646521
CTNNB1,80.40171064
CXorf40B,15.72484813
CYP1B1,6.510247077
DCN,124.4703724
DDX5,93.16698618
DLST,40.77203166
DMD,39.48958593
DST,12.28066643
EIF2S2,58.62920355
ERGIC2,33.32348068
ERH,103.5946245
FAM120A,11.48639052
FAM129A,19.12966724
FAM168B,198.5077152
FBN1,28.03901733
FBXW7,47.3363482
GBAS,15.49913419
GLTSCR2,560.5206676
GULP1,16.90999635
HBB,72.77402448
HCFC2,15.97812879
HMOX2,45.87743069
HNRNPH3,54.4704288
HNRNPUL1,64.97453289
HSP90AB1,60.78006258
ID2,21.74826089
IL1R1,26.7936002
ITGA6,36.54804599
JAG1,110.6204288
KAT7,51.64854891
KCTD12,199.1391006
KDM6A,8.46643248
KLC1,35.21149016
KPNA6,47.20561129
LYRM1,102.3379337
MAN2A1,91.71652077
MBNL2,305.9739452
MCMBP,49.68668585
MEST,47.8133989
MGAT4A,14.81618843
MLH3,23.83169375
MON2,25.75088145
MPHOSPH9,17.00503329
MRPL16,24.87114415
MRPS17,25.89282003
MXI1,165.5065965
MYD88,83.19513256
NACA,63.62191793
NDUFC2,87.85612457
NDUFS5,169.3420189
NISCH,278.5694947
NKTR,9.589481182
NPEPPS,44.0464248
NPTX2,50.05662756
NSFL1C,62.67827101
NUTF2,32.66827325
ORAI2,400.7023072
OTUB1,29.88871578
PABPC1,200.4519634
PCDH9,376.5792081
PDCL3,18.55326236
PFDN1,87.52241341
PFDN5,21.94666092
PI4KA,29.18525328
PIAS3,49.21727323
PITPNB,175.7699856
PLEKHB1,25.84089852
PLOD2,70.26074345
POGZ,26.72946763
PPFIA1,98.89804728
PPP1R7,24.72346313
PPP2CA,61.54303769
PPP2CB,155.9063494
PRKD1,30.13414641
PRPF3,11.34699951
PSAP,508.9280389
PSMD4,110.0733822
PSMD6,54.45773516
PTPN13,22.51195269
RAB40B,40.69593647
RAP1GDS1,240.6484587
RBM15,11.16159752
RNF130,93.16940245
RNF7,30.44372395
ROBO1,173.3409188
RPL12,248.195137
RPL15,23.77678654
RPL35A,153.6041765
RPL36AL,59.63890733
RPL37,1292.839183
RPLP2,70.69722232
RPSA,403.2627975
RSAD1,52.51514061
RUVBL2,151.7778232
SCN1B,159.6289254
SERBP1,40.23494094
SF3A1,100.1957059
SF3B1,138.0596239
SKIV2L2,16.14173325
SLC2A1,122.7621461
SNAPC5,18.04305679
SNRPF,10.9092475
SON,82.67474648
SPARC,177.951487
SRP19,152.3779139
SRSF11,55.01165352
SSBP3,40.73515101
STAT3,69.65247573
STMN1,107.4765671
SUN1,68.67152307
SYT11,117.2678575
TAB2,35.37639934
TARDBP,59.42157947
TARS,25.24913492
TBCB,125.0726029
TCF4,121.7427805
TERF2IP,107.2900453
TM4SF1,87.85159051
TMEM260,54.63413843
TMEM43,94.92534036
TMX1,41.642231
TSPAN7,90.57962623
TUG1,26.8960786
UBE2L3,35.95882811
VPS13B,35.05156011
XPOT,305.4643607
YLPM1,46.12386966
YME1L1,36.15379643
ZFP36,205.4657185
ZFYVE26,49.21466693
ZMYND11,137.9495775
ZNF24,87.73335005
ZNF273,9.219547629
ZNF506,5.70389164
ZNF518A,11.42565664
