Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_MW2.CEL,C_MW3B.CEL,C_MW7.CEL,P_3A.CEL,P_4Aa.CEL,P_5A.CEL,P_7Aa.CEL,P_8A.CEL,P_MW4.CEL,P_MW5.CEL,P_MW8.CEL,countP
RALGDS,0.993288771,5.162647579,8.728389259,9.97E-07,0.027265507,4.106027159,1.990717867,21.09710279,20.23820371,23.96380196,39.0293848,40.05936669,44.30289212,37.49674298,39.69750768,49.92536588,49.88390429,47.39283781,10
INADL,-1.396217341,2.545599085,-7.402062126,5.88E-06,0.07822444,3.043186625,-2.632105546,14.63272838,10.17753405,11.03983421,4.746610715,3.792164287,3.286380978,3.548843545,5.409024139,5.494356407,4.408144257,5.94320901,11
AQP1,2.424391388,4.070396698,6.052889556,4.47E-05,0.143850056,1.682655099,5.36802499,8.631707348,2.564158928,5.477346873,21.22964414,50.2761593,16.70510568,24.84905468,29.85319827,13.97479704,39.85803483,33.68980109,10
CEBPB,1.617263351,3.711081009,6.070086576,4.35E-05,0.143850056,1.701986682,3.067925291,3.942305645,5.681796181,8.689551591,14.79635243,16.30998236,22.64144525,13.97565823,13.78654877,14.79635243,30.3058506,21.15237375,9
ELAVL3,-1.126434799,5.230667109,-6.133670984,3.93E-05,0.143850056,1.772998428,-2.183185622,57.03016485,88.28121163,57.75962332,28.43688244,33.47132581,26.40506913,22.99249009,39.07624254,34.23867413,25.157179,36.97834883,11
LGALS3,1.475512294,2.482441766,5.991719989,4.93E-05,0.143850056,1.613457455,2.780823722,2.460236432,2.170846834,3.508783277,10.7210446,8.604075735,8.360684111,5.077129072,6.20275993,5.420460163,6.20891279,10.83884902,6
NDRG4,1.913903339,6.413461155,6.264577442,3.20E-05,0.143850056,1.916903908,3.768272612,18.19779746,39.73327889,47.39380121,167.7536361,163.5402956,170.4511069,142.8700514,108.9142061,97.44890619,81.90876682,86.72845522,11
PNMA6A,1.136828396,3.418730018,6.071228561,4.35E-05,0.143850056,1.703268516,2.198970723,4.744095265,6.665111696,6.931055909,13.51797034,16.09564458,17.78800039,15.25341237,14.0170927,10.33033093,11.11586252,10.0450828,6
RGS1,3.720242508,4.26033403,6.642182261,1.79E-05,0.143850056,2.315011765,13.17967151,3.377465809,2.001173106,3.751122073,20.22033119,76.02197559,62.82387998,12.50600662,36.06091657,30.32137192,30.4749573,125.4975725,8
AIG1,-0.971884825,4.36224315,-5.742025681,7.40E-05,0.150462396,1.323892784,-1.961401417,29.43003219,39.53832841,32.50992326,24.2138421,15.93299482,14.64935152,19.41292956,20.62237383,15.93760713,13.72959808,14.87000865,11
PYROXD1,-0.911944437,3.994664706,-5.851719495,6.18E-05,0.150462396,1.452512186,-1.881579748,21.67105928,24.20778831,30.66654928,15.11700312,13.82932038,14.80578108,10.25572466,10.39007478,15.73364664,13.66498383,14.80578108,9
EML3,0.661392877,2.620079678,5.558085917,0.000100226,0.15858625,1.103227706,1.58160888,3.898678047,5.077583055,4.317131609,8.185851581,6.070240014,7.594635587,6.220328836,6.169997132,6.921346183,7.645242219,7.239720831,4
OR2L13,-1.027163363,0.60411011,-5.560038888,9.99E-05,0.15858625,1.105603538,-2.038013154,1.930664405,3.629529411,2.369420265,1.068094764,1.39850088,1.293304702,1.39850088,1.606645551,0.984727343,1.113377704,1.266758913,5
UBE2G2,0.609904144,3.052514477,5.593069791,9.46E-05,0.15858625,1.145679164,1.526157804,5.691716152,6.488467748,6.147935106,8.461645164,10.50115399,9.871964434,8.892459654,8.461645164,8.461645164,8.942513851,11.30528188,10
KIAA1841,-0.998541983,5.827041756,-5.531502505,0.000104766,0.159113613,1.07081803,-1.99797978,98.7348879,99.30289212,84.47839063,54.93925575,41.5535687,40.03016485,36.61614326,48.51270574,54.93925575,38.18051759,69.97591318,11
AMACR ,-1.169068807,1.462619107,-5.61906065,0.000108589,0.164995067,1.164777219,-2.273177614,4.530322368,7.418519386,4.688507572,2.651974173,1.832971067,1.920744772,2.847135675,2.155370475,1.899666437,2.171247742,3.072028193,6
SERPINA3,3.021719202,3.746609334,5.39783789,0.000131103,0.183675716,0.905870258,8.121347961,2.268591755,4.868212294,2.268591755,13.23801559,46.56112426,9.037393472,47.96153194,14.86471164,14.25268808,27.84434422,64.53638757,8
DLG5,2.344622187,2.850851345,5.338713423,0.000144889,0.184961594,0.831850408,5.079273595,2.15839939,1.482705301,3.384214453,14.10272664,14.72036645,22.94370469,9.279335677,8.816908611,9.707555804,17.89520296,3.757508052,5
GFAP,2.614861884,7.466297591,5.347581552,0.000142728,0.184961594,0.842994039,6.125645525,158.4417657,21.79083309,30.70243658,146.8363798,412.5756194,350.5756194,207.7102108,335.5756194,255.0271491,374.6311967,352.7775611,10
