Gene.Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,Fold Change,C_JK C 05-07.CEL,C_JK C 12-07.CEL,C_JK C 35-96.CEL,C_JK C 39-97.CEL,C_JK CC2.CEL,C_JK CC4.CEL,P_LC 04-06.CEL,P_LC 299-99.CEL,P_LC 96-06.CEL,countP
GNB2L1 /// SNORD95 /// SNORD96A,-2.8314597084113,4.16994834657479,-8.41449762559828,1.17261804008794e-05,0.122091987355511,3.12578984806391,-7.11793968706677,42.5793180461344,60.2708645870415,27.5161027714011,27.5161027714011,37.6445230826774,23.5615596760638,3.25158347114137,7.30173440943324,4.84851843602357,7
IMPDH2,-2.40654987428745,3.80979489518428,-7.77122795298153,2.26333268941961e-05,0.122091987355511,2.65662185501769,-5.30204852610055,31.6908679852919,34.7638544854686,18.6464835799733,20.4812305247038,21.1999527728332,23.9724654367579,2.65199743005352,6.43996007148069,5.74439046064686,7
NXF1,-1.31046275624608,3.79289653206059,-7.44536522289464,3.20894007003491e-05,0.122091987355511,2.3988759805248,-2.48021082022908,17.8855528975244,22.1535415886808,16.4835687695088,18.2719316591783,20.343781743268,17.9646196179752,5.71199082617374,9.75848187568153,7.7656877317919,6
RPL11,-2.11947252293311,4.52050876578179,-8.33445633753631,1.2698336167849e-05,0.122091987355511,3.07013364787001,-4.34535041590709,46.9738071071748,51.3743053489869,26.6724437179919,26.6724437179919,32.0658234221906,50.1339910937993,8.06452424560374,9.36725387877671,8.47589466410827,7
RPL18,-1.87036320575884,5.75796166639633,-7.14622384855547,4.46609921739409e-05,0.122091987355511,2.14950275623291,-3.65624616348708,83.2374659675955,87.0126562255855,68.7398571480257,65.4603093828231,97.0486377632075,106.147191737674,17.2285900382332,37.0910184952318,18.5510362956419,7
RPL7A /// SNORD24 /// SNORD36A /// SNORD36B,-1.03470593017907,6.39540077914011,-7.90326287992804,1.9709738629765e-05,0.122091987355511,2.75710043045922,-2.04869601028205,115.94711185329,104.088794349147,103.006605653654,115.456413021338,95.6969067169843,108.731381455893,48.9069696264117,62.3819718998985,46.5840786633138,8
RNU86 /// RPL3 /// SNORD83B,-2.19513458859599,7.17487168402968,-6.91267659888713,5.82187714219951e-05,0.138396144673808,1.94591528476691,-4.57932382624121,372.988589426614,332.108728450165,158.819254877039,157.871769690434,231.159748874319,265.837706704056,50.9739167210353,57.2638163697323,49.2860225001767,9
PFDN5,-1.18331161384795,4.22293246338116,-6.8351723385878,0.000188810861973515,0.139814375169746,1.72971476901839,-2.31591108912986,24.1020328172202,22.5661089467135,29.7472283037007,25.7810153605033,23.1209346839995,22.8607332569218,8.3495851084448,12.8803012425721,12.7069189811212,7.5
DYNC1LI2,-1.08111190582166,6.57009036558787,-6.40650385420674,0.000105743773502099,0.14101319063969,1.47643766609253,-2.11566602717235,110.551631347586,171.715304429874,111.873821478082,126.455525517378,107.587893223907,113.987183577256,51.122936065281,62.053498316239,60.4096806510117,8
METTL23,-1.17477100731786,3.78634474217833,-6.50106891645078,9.4361835865765e-05,0.14101319063969,1.56717598005712,-2.25757044687639,23.537065350035,18.7538730750213,14.7036440878293,16.6656016460796,17.9646196179752,18.0965330536655,6.67350026929634,10.2007729831968,7.57078018271312,8
