ensembl_gene_id,hgnc_symbol,P_LC.04.06.CEL,P_LC.299.99.CEL,P_LC.96.06.CEL
ENSG00000072110,ACTN1,10.87034014,25.23284138,28.39744739
ENSG00000069122,ADGRF5,2.591028881,3.765741464,3.093136197
ENSG00000153207,AHCTF1,4.93478695,10.05815321,3.97987111
ENSG00000072210,ALDH3A2,24.10191943,29.5272737,17.96461962
ENSG00000073331,ALPK1,5.165254041,4.143471866,3.192107576
ENSG00000132466,ANKRD17,7.553041545,43.23496919,12.80694343
ENSG00000135046,ANXA1,2.217378444,5.532241652,5.728814823
ENSG00000042753,AP2S1,9.447795213,16.58162832,9.896365062
ENSG00000137962,ARHGAP29,4.019542346,5.501630941,3.97987111
ENSG00000166233,ARIH1,1.810804101,1.30235547,1.829871378
ENSG00000149311,ATM,5.552687061,6.176943836,4.128302094
ENSG00000017260,ATP2C1,15.20850464,34.28596432,15.53481267
ENSG00000165629,ATP5C1,38.55155859,57.64731211,30.81764083
ENSG00000124172,ATP5E,81.8819711,120.4307753,94.05270456
ENSG00000175756,AURKAIP1,14.00953295,21.07247433,23.75457554
ENSG00000214413,BBIP1,4.724929598,4.678165093,4.389254731
ENSG00000182492,BGN,6.151339023,6.439960071,12.64439994
ENSG00000171634,BPTF,4.396005959,22.38970065,8.866876858
ENSG00000111801,BTN3A3,16.15023544,27.14419352,21.04489034
ENSG00000133935,C14orf1,11.51941196,14.50636561,7.600332729
ENSG00000125462,C1orf61,44.12849613,23.40074613,55.95773383
ENSG00000196821,C6orf106,14.13693398,15.91091397,14.99233916
ENSG00000120860,CCDC53,3.357933305,4.880482504,3.233659173
ENSG00000125633,CCDC93,13.19788405,16.54601241,5.612121651
ENSG00000163468,CCT3,13.85884675,37.12412021,9.174238425
ENSG00000130177,CDC16,1.689776791,3.380413315,1.785449645
ENSG00000140937,CDH11,4.557894946,2.873504612,8.098975762
ENSG00000149187,CELF1,7.449150795,18.52017517,10.89031353
ENSG00000099814,CEP170B,39.77216519,36.34634243,30.27545864
ENSG00000005194,CIAPIN1,12.07764199,15.9373344,11.65220629
ENSG00000171365,CLCN5,2.353325892,2.869677438,2.224533006
ENSG00000074201,CLNS1A,18.68108313,25.47232829,28.7657772
ENSG00000183978,COA3,18.40906406,40.5329883,26.03546939
ENSG00000187498,COL4A1,2.516642579,6.619369382,7.944253864
ENSG00000181789,COPG1,5.273273365,4.62357124,4.703175025
ENSG00000182158,CREB3L2,14.00953295,8.68216009,14.95966764
ENSG00000143162,CREG1,10.40566879,36.34634243,28.95079877
ENSG00000159176,CSRP1,31.09681975,26.4138926,35.80659892
ENSG00000101439,CST3,4.546507382,7.13364746,5.341992484
ENSG00000175215,CTDSP2,17.78498362,26.24368111,27.4502215
ENSG00000168036,CTNNB1,13.66438504,12.8831967,20.68147801
ENSG00000197021,CXorf40B,5.884520284,13.82092467,9.242567698
ENSG00000138061,CYP1B1,6.343891727,4.808729027,6.542105977
ENSG00000011465,DCN,15.32452368,14.18900028,17.96461962
ENSG00000108654,DDX5,42.13892979,79.3452186,59.50352731
ENSG00000119689,DLST,4.393181064,8.749047186,3.159698442
ENSG00000198947,DMD,11.58374317,7.577021359,37.23523132
ENSG00000151914,DST,41.38745478,24.51481297,27.4502215
ENSG00000125977,EIF2S2,14.57138813,18.34854219,13.67620226
ENSG00000087502,ERGIC2,6.33703333,10.29999747,11.65220629
ENSG00000100632,ERH,27.12543618,27.4502215,32.52144075
ENSG00000048828,FAM120A,5.818861627,7.220983773,7.371550716
ENSG00000135842,FAM129A,4.724929598,3.891971121,3.08348621
ENSG00000152102,FAM168B,24.32587221,54.32978468,42.27951048
ENSG00000166147,FBN1,7.30263134,8.916816173,8.399839626
ENSG00000109670,FBXW7,14.7138012,20.34358589,9.414923426
ENSG00000146729,GBAS,4.445353294,10.92387588,5.681509458
ENSG00000105373,GLTSCR2,72.01610256,54.82206757,144.8789053
ENSG00000144366,GULP1,2.856762868,2.414942937,3.97987111
ENSG00000244734,HBB,17.99198941,9.527299744,5.046881294
ENSG00000111727,HCFC2,3.532651585,2.74966278,5.235422071
ENSG00000103415,HMOX2,6.439960071,8.75930631,4.040970691
ENSG00000096746,HNRNPH3,8.930506665,8.936602871,5.616347131
ENSG00000105323,HNRNPUL1,5.274447739,6.764416917,8.629423827
ENSG00000096384,HSP90AB1,3.517864873,8.098052512,1.95514255
ENSG00000115738,ID2,6.559587992,5.018092035,6.149604118
ENSG00000115594,IL1R1,3.966992686,6.792114416,2.738457104
ENSG00000091409,ITGA6,10.39009458,10.71730813,19.41359443
ENSG00000101384,JAG1,9.87298311,8.124287549,25.23961801
ENSG00000136504,KAT7,4.147013955,8.607605916,6.502829393
ENSG00000178695,KCTD12,26.84924446,23.41622404,48.54251796
ENSG00000147050,KDM6A,3.635279429,4.664487366,3.635279429
ENSG00000126214,KLC1,10.01788526,61.42493115,13.67620226
ENSG00000025800,KPNA6,7.448253267,14.02532451,6.509618915
ENSG00000102897,LYRM1,46.60781611,43.52504634,42.05332743
ENSG00000112893,MAN2A1,14.47804042,11.98551127,18.67170881
ENSG00000139793,MBNL2,124.2772985,134.2199285,175.8256002
ENSG00000197771,MCMBP,7.421598997,4.468925152,9.491042061
ENSG00000106484,MEST,7.656844797,24.76714483,10.96830903
ENSG00000071073,MGAT4A,2.570550803,3.119734064,2.952016895
ENSG00000119684,MLH3,6.223979038,9.559598562,6.950585792
ENSG00000061987,MON2,7.142550065,10.29999747,7.725281866
ENSG00000051825,MPHOSPH9,6.439960071,13.01312498,5.720109937
ENSG00000166902,MRPL16,6.180313839,7.896206189,5.124616375
ENSG00000239789,MRPS17,4.806008669,9.614462563,3.746161411
ENSG00000119950,MXI1,29.44810844,30.20803446,33.61929766
ENSG00000172936,MYD88,9.424109657,18.42104851,14.47431058
ENSG00000196531,NACA,23.96122871,65.52822115,51.23156773
ENSG00000151366,NDUFC2,33.85568451,47.96314662,33.98777482
