"","hgnc_symbol","ensembl_gene_id","P_3A.CEL","P_4Aa.CEL","P_5A.CEL","P_7Aa.CEL","P_8A.CEL","P_MW4.CEL","P_MW5.CEL","P_MW8.CEL"
"1","ACTN1","ENSG00000072110",12.50438833,10.3049147,19.00805356,16.69306502,8.271822427,8.696415356,14.87842335,39.07418249
"2","AHCTF1","ENSG00000153207",3.497053917,5.148474784,3.401639023,3.728604807,3.551882984,3.551882984,4.509683257,3.999219629
"3","ALDH3A2","ENSG00000072210",24.05678721,30.84836746,31.10326896,24.76303441,30.84836746,33.77542444,30.84836746,30.84836746
"4","ALPK1","ENSG00000073331",5.662781965,6.020249557,6.160533164,4.844203344,4.09370642,8.906418902,8.908864372,5.721752291
"5","ANKRD17","ENSG00000132466",15.95567628,9.38476143,11.6263297,14.22693886,14.59986616,8.696415356,11.50760973,11.78030455
"6","ANXA1","ENSG00000135046",1.108837727,1.331731059,1.331731059,1.740239475,1.318111906,1.068094764,1.36444318,1.4468584
"7","AP2S1","ENSG00000042753",8.360684111,11.79484305,10.91955951,16.96275612,11.51792172,9.054194981,10.57316994,7.332233152
"8","ARHGAP29","ENSG00000137962",4.151388163,4.151388163,4.151388163,3.55001859,3.342346537,3.429362203,4.542148187,7.682884838
"9","ARIH1","ENSG00000166233",6.302443492,5.325655483,5.733278229,4.973938966,5.407530787,4.33366881,4.369951154,4.801519166
"10","ATM","ENSG00000149311",1.470230079,1.735744826,1.292212254,1.41073501,1.82732525,1.341621502,1.470230079,1.693625092
"11","ATP2C1","ENSG00000017260",17.25332834,13.19690546,12.52735694,13.1091133,16.55943161,11.7642777,9.205387657,10.92636495
"12","ATP5C1","ENSG00000165629",42.96650451,53.47109065,55.68248258,68.92036934,63.57561939,38.47324982,32.43848174,50.93516199
"13","ATP5E","ENSG00000124172",170.4626758,273.5180585,236.2558777,327.6014807,229.6771051,209.9888432,168.8133128,213.9730569
"14","AURKAIP1","ENSG00000175756",35.77253762,48.84841599,45.16048644,75.83615867,44.03016485,34.26544216,33.76009242,36.33125744
"15","BBIP1","ENSG00000214413",14.63586414,9.388408088,13.77124248,13.85327701,15.61326291,7.263490968,9.594279177,17.43138073
"16","BGN","ENSG00000182492",3.513528999,3.851327472,3.488589029,2.783804481,2.314344066,3.276905656,3.276905656,3.385940209
"17","BPTF","ENSG00000171634",13.00780327,21.13075104,16.45926533,11.39162951,12.25856134,22.33260684,14.02158153,16.03374217
"18","C14orf1","ENSG00000133935",14.45418964,14.7797806,14.77385857,9.031648798,13.96797054,9.25285818,5.553088817,9.694478114
"19","C1orf61","ENSG00000125462",46.55290063,76.57741382,61.97295286,36.96646419,47.36188872,64.51403486,39.11406068,69.50946826
"20","C6orf106","ENSG00000196821",11.1442422,18.7494313,14.56749659,16.55017442,14.78407521,10.76692451,10.36954939,12.61393257
"21","CCDC53","ENSG00000120860",3.268202006,2.841161965,3.135033104,3.651877384,3.199838573,2.547629621,2.311077848,3.623662058
"22","CCDC93","ENSG00000125633",1.607731576,2.260734134,1.867538251,2.716662563,2.070580241,1.867538251,1.550838382,2.365234234
"23","CCT3","ENSG00000163468",14.03692202,25.57224643,19.54805114,21.53330551,26.84216893,17.58092629,8.869112727,17.23513741
